from	to
Храм В Честь Воздвижения Креста Господня 1928Г.	Храм В Честь Воздвижения Креста Господня 1928Г.
Храм в честь Вознесения Господня	Храм в честь Вознесения Господня
Храм В Честь Вознесения Господня	Храм В Честь Вознесения Господня
Храм  в честь Вознесения Господня	Храм  в честь Вознесения Господня
Храм В Честь Вознесения Господня 1818Г.	Храм В Честь Вознесения Господня 1818Г.
Храм В Честь Вознесения Господня1939Г.	Храм В Честь Вознесения Господня1939Г.
Храм в честь иконы Божией Матери "Державная"	Храм в честь иконы Божией Матери "Державная"
Храм в честь иконы Божьей матери "Спорительница хлебов"	Храм в честь иконы Божьей матери "Спорительница хлебов"
Храм В Честь Казанской Иконы Божией Матери	Храм В Честь Казанской Иконы Божией Матери
Храм в честь Казанской Иконы Божией Матери 1720Г.	Храм в честь Казанской Иконы Божией Матери 1720Г.
Храм В Честь Казанской Иконы Божией Матери 1905Г.	Храм В Честь Казанской Иконы Божией Матери 1905Г.
Храм В Честь Покрова Пресвятой Бгородицы 1900Г.	Храм В Честь Покрова Пресвятой Бгородицы 1900Г.
Храм в честь Покрова Пресвятой Богородицы	Храм в честь Покрова Пресвятой Богородицы
Храм В Честь Покрова Пресвятой Богородицы	Храм В Честь Покрова Пресвятой Богородицы
Храм Вчесть Покрова Пресвятой Богородицы 1670Г.	Храм Вчесть Покрова Пресвятой Богородицы 1670Г.
Храм В Честь Покрова Пресвятой Богородицы 1807Г.	Храм В Честь Покрова Пресвятой Богородицы 1807Г.
Храм В Честь Покрова Пресвятой Богородицы 1848Г.	Храм В Честь Покрова Пресвятой Богородицы 1848Г.
Храм в честь Покрова Пресвятой Богородицы 1850 г.	Храм в честь Покрова Пресвятой Богородицы 1850 г.
Храм В Честь Покрова Пресвятой Богородицы 1870Г.	Храм В Честь Покрова Пресвятой Богородицы 1870Г.
Храм в честь Покрова Пресвятой Богородицы 1871Г.	Храм в честь Покрова Пресвятой Богородицы 1871Г.
Храм В Честь Покрова Пресвятой Богородицы 1875Г.	Храм В Честь Покрова Пресвятой Богородицы 1875Г.
Храм В Честь Покрова Пресвятой Богородицы 1899Г.	Храм В Честь Покрова Пресвятой Богородицы 1899Г.
Храм В Честь Покрова Пресвятой Богородицы 1901Г.	Храм В Честь Покрова Пресвятой Богородицы 1901Г.
Храм в честь Покрова Пресвятой Богородицы 1904Г.	Храм в честь Покрова Пресвятой Богородицы 1904Г.
Храм В Честь Покрова Пресвятой Богородицы 1906Г.	Храм В Честь Покрова Пресвятой Богородицы 1906Г.
Храм В Честь  Покрова Пресвятой Богородицы 1933Г.	Храм В Честь  Покрова Пресвятой Богородицы 1933Г.
Храм В Честь Покрова Пресвятой Богородицы 1937Г.	Храм В Честь Покрова Пресвятой Богородицы 1937Г.
Храм в честь Преображения Господня	Храм в честь Преображения Господня
Храм В Честь Преображения Господня	Храм В Честь Преображения Господня
Храм В Честь Преображения Господня 1786Г.	Храм В Честь Преображения Господня 1786Г.
Храм в честь Преображения Господня 1865Г.	Храм в честь Преображения Господня 1865Г.
Храм В Честь Преображения Господня 1877Г.	Храм В Честь Преображения Господня 1877Г.
Храм В Честь Преображения Господня 1910Г.	Храм В Честь Преображения Господня 1910Г.
Храм в честь Рождества Пресвятой Богородицы	Храм в честь Рождества Пресвятой Богородицы
Храм В Честь Рождества Пресвятой Богородицы	Храм В Честь Рождества Пресвятой Богородицы
Храм В Честь Рождества Пресвятой Богородицы 1737Г.	Храм В Честь Рождества Пресвятой Богородицы 1737Г.
Храм В Честь Рождества Пресвятой Богородицы 1797Г.	Храм В Честь Рождества Пресвятой Богородицы 1797Г.
Храм В Честь Рождества Пресвятой Богородицы 1881Г.	Храм В Честь Рождества Пресвятой Богородицы 1881Г.
Храм в честь Рождества Пресвятой Богородицы 1883Г.	Храм в честь Рождества Пресвятой Богородицы 1883Г.
Храм В Честь Рождества Пресвятой Богородицы 1888Г.	Храм В Честь Рождества Пресвятой Богородицы 1888Г.
Храм В Честь Рождества Пресвятой Богородицы 1893Г.	Храм В Честь Рождества Пресвятой Богородицы 1893Г.
Храм Вчесть Рождества Пресвятой Богородицы 1933Г.	Храм Вчесть Рождества Пресвятой Богородицы 1933Г.
Храм В Честь Рождества Пресвятой Богородиыц 1811Г.,Восст.1990Г.	Храм В Честь Рождества Пресвятой Богородиыц 1811Г.,Восст.1990Г.
Храм в честь Рождества Пресятой Богородицы 1928Г.	Храм в честь Рождества Пресятой Богородицы 1928Г.
Храм в честь Рождества Христова	Храм в честь Рождества Христова
Храм в честь св. Троицы ,1909 г.	Храм в честь св. Троицы ,1909 г.
Храм в честь Святого Духа	Храм в честь Святого Духа
Храм В Честь Святого Духа 1922Г.	Храм В Честь Святого Духа 1922Г.
Храм в честь Святой Троицы	Храм в честь Святой Троицы
Храм В Честь Святой Троицы	Храм В Честь Святой Троицы
Храм В Честь Святой Троицы 1647Г.	Храм В Честь Святой Троицы 1647Г.
Храм В Честь Святой Троицы 1758Г.	Храм В Честь Святой Троицы 1758Г.
Храм В Честь Святой Троицы 1826Г.	Храм В Честь Святой Троицы 1826Г.
Храм В Честь Святой Троицы 1872 г.	Храм В Честь Святой Троицы 1872 г.
Храм В Честь Святой Троицы 1875Г.	Храм В Честь Святой Троицы 1875Г.
Храм В Честь Святой Троицы 1903Г.	Храм В Честь Святой Троицы 1903Г.
Храм В Честь Собора Белорусских Святых	Храм В Честь Собора Белорусских Святых
Храм в честь Тихвинской иконы Божьей Матери	Храм в честь Тихвинской иконы Божьей Матери
Храм В Честь Усекновения Главы Иоанна Предтечи 1820Г.	Храм В Честь Усекновения Главы Иоанна Предтечи 1820Г.
Храм в честь Успения Пресвятой Богородицы	Храм в честь Успения Пресвятой Богородицы
Храм В Честь Успения Пресвятой Богородицы	Храм В Честь Успения Пресвятой Богородицы
Храм В Честь Успения Пресвятой Богородицы 1642Г.	Храм В Честь Успения Пресвятой Богородицы 1642Г.
Храм в честь Успения Пресвятой Богородицы 1789Г.	Храм в честь Успения Пресвятой Богородицы 1789Г.
Храм В Честь Успения Пресвятой Богородицы 1805Г.	Храм В Честь Успения Пресвятой Богородицы 1805Г.
Храм в честь Успения Пресвятой Богородицы 1840Г.	Храм в честь Успения Пресвятой Богородицы 1840Г.
Храм В Честь Успения Пресвятой Богородицы 1861Г.	Храм В Честь Успения Пресвятой Богородицы 1861Г.
Храм в честь Успения Пресвятой Богородицы 1866 г.	Храм в честь Успения Пресвятой Богородицы 1866 г.
Храм В Честь  Успения Пресвятой Богородицы 1869Г.	Храм В Честь  Успения Пресвятой Богородицы 1869Г.
Храм В Честь Успения Пресвятой Богородицы 1870Г.	Храм В Честь Успения Пресвятой Богородицы 1870Г.
Храм в честь Успения Пресвятой Богородицы 1891г.	Храм в честь Успения Пресвятой Богородицы 1891г.
Храм В Честь Успения Пресвятой Богородицы 1895 г.	Храм В Честь Успения Пресвятой Богородицы 1895 г.
Храм В Честь Успения Пресвятой Богородицы 1911Г.	Храм В Честь Успения Пресвятой Богородицы 1911Г.
Храм в честь Успения Пресвятой Богородицы 1927Г.	Храм в честь Успения Пресвятой Богородицы 1927Г.
Храм Дмитрия Донского	Храм Дмитрия Донского
Храм имени Св. Архистратига Михаила	Храм имени Св. Архистратига Михаила
Храм имени Святых Апостолов Петра И Павла	Храм имени Святых Апостолов Петра И Павла
Храм имени Святых Мучеников Бориса И Глеба 1791Г.	Храм имени Святых Мучеников Бориса И Глеба 1791Г.
храм мч. Меркурия Смоленского	храм мч. Меркурия Смоленского
Храм Покрова Пресвятой Богородицы	Храм Покрова Пресвятой Богородицы
Храм преображения Господня	Храм преображения Господня
Храм протестантский	Храм протестантский
Храм Рождества Христова	Храм Рождества Христова
Храм св. апостола Луки	Храм св. апостола Луки
Храм св. великомученика Димитрия Солунского	Храм св. великомученика Димитрия Солунского
Храм св. Пантелеймона	Храм св. Пантелеймона
храм свв. Кирилла и Мефодия	храм свв. Кирилла и Мефодия
Храм святого благоверного князя Александра Невского	Храм святого благоверного князя Александра Невского
Храм Святого мученика Иоанна Воина	Храм Святого мученика Иоанна Воина
Храм святого мученика Лонгина Сотника	Храм святого мученика Лонгина Сотника
Храм Святого Равноапостольного князя Владимира	Храм Святого Равноапостольного князя Владимира
Храм святой блаженной Ксении Петербургской	Храм святой блаженной Ксении Петербургской
Храм святой великомученицы Екатерины	Храм святой великомученицы Екатерины
Храм Святой Живоначальной Троицы	Храм Святой Живоначальной Троицы
Храм святой мученицы Татианы	Храм святой мученицы Татианы
Храм святой преподобной Евфросинии Полоцкой	Храм святой преподобной Евфросинии Полоцкой
Храм святой преподобномученицы Евдокии	Храм святой преподобномученицы Евдокии
Храм Святой Троицы	Храм Святой Троицы
Храм Смоленской иконы Божией Матери	Храм Смоленской иконы Божией Матери
Храм Успения Пресвятой Богородицы	Храм Успения Пресвятой Богородицы
ХРИСТО-РОЖДЕСТВЕНСКИЙ ПРИХОД ХРАМ РОЖДЕСТВА БОЖИЕЙ МАТЕРИ	ХРИСТО-РОЖДЕСТВЕНСКИЙ ПРИХОД ХРАМ РОЖДЕСТВА БОЖИЕЙ МАТЕРИ
Центральная церковь адвентистов седьмого дня	Центральная церковь адвентистов седьмого дня
Центр молодежи "Мираж"	Центр молодежи "Мираж"
Цервовь Евангелистов	Цервовь Евангелистов
церковь	церковь
Церковь	Церковь
Церковь /не достроена/	Церковь /не достроена/
церковь" Благовестие"	церковь" Благовестие"
Церковь "Благодать"	Церковь "Благодать"
церковь "Воскресение"	церковь "Воскресение"
Церковь "Голгофа"	Церковь "Голгофа"
Церковь "Свет Евангелия"	Церковь "Свет Евангелия"
церковь "Спасение"	церковь "Спасение"
церковь «Преображение» ЕХБ	церковь «Преображение» ЕХБ
Церковь (38)	Церковь (38)
Церковь (дерев.; руины)	Церковь (дерев.; руины)
Церковь (дерев.)	Церковь (дерев.)
Церковь (развалины)	Церковь (развалины)
Церковь адвентистов седьмого дня	Церковь адвентистов седьмого дня
Церковь Адвентистов Седьмого Дня	Церковь Адвентистов Седьмого Дня
Церковь Баптистов	Церковь Баптистов
Церковь Благовещения Пресвятой Богородицы	Церковь Благовещения Пресвятой Богородицы
Церковь Благовещенская	Церковь Благовещенская
Церковь Благовещенская (дерев.)	Церковь Благовещенская (дерев.)
Церковь Бориса и Глеба	Церковь Бориса и Глеба
Церковь Вифания	Церковь Вифания
церковь Вознесения Господня	церковь Вознесения Господня
Церковь Вознесения Господня	Церковь Вознесения Господня
церковь Вознесенская	церковь Вознесенская
Церковь Вознесенская	Церковь Вознесенская
Церковь во имя образа Пресвятой Богородицы, именуемого "Отрада"	Церковь во имя образа Пресвятой Богородицы, именуемого "Отрада"
Церковь во имя преподобной Марфы	Церковь во имя преподобной Марфы
Церковь во имя Св. прор. Илии	Церковь во имя Св. прор. Илии
Церковь Воскресенская	Церковь Воскресенская
Церковь Воскресенская (дерев.)	Церковь Воскресенская (дерев.)
церковь Всех Святых	церковь Всех Святых
Церковь Всех Святых	Церковь Всех Святых
Церковь в честь Рождества Христова	Церковь в честь Рождества Христова
Церковь в честь Семистрельной иконы Божьей матери	Церковь в честь Семистрельной иконы Божьей матери
Церковь в честь Тихвинской иконы Богоматери (дерев.)	Церковь в честь Тихвинской иконы Богоматери (дерев.)
церковь Евангельских Христиан Баптистов	церковь Евангельских Христиан Баптистов
Церковь евангельских христиан-баптистов	Церковь евангельских христиан-баптистов
Церковь ЕХБ	Церковь ЕХБ
Церковь ЕХБ "Спасение"	Церковь ЕХБ "Спасение"
Церковь Жировичской Иконы Божьей Матери	Церковь Жировичской Иконы Божьей Матери
Церковь Иисуса Христа	Церковь Иисуса Христа
Церковь иконы БМ "Взыскание погибших"	Церковь иконы БМ "Взыскание погибших"
Церковь иконы Богоматери "Всех скорбящих Радость"	Церковь иконы Богоматери "Всех скорбящих Радость"
Церковь иконы Богоматери "Неупиваемая Чаша"	Церковь иконы Богоматери "Неупиваемая Чаша"
Церковь Иконы Божьей Матери	Церковь Иконы Божьей Матери
Церковь Иконы Божьей Матери "Целительница"	Церковь Иконы Божьей Матери "Целительница"
Церковь иконы матери божией Белыничской	Церковь иконы матери божией Белыничской
Церковь Илии Пророка	Церковь Илии Пророка
Церковь Казанской иконы Богоматери	Церковь Казанской иконы Богоматери
Церковь Казанской иконы Богоматери (дерев.)	Церковь Казанской иконы Богоматери (дерев.)
церковь Крестовоздвиженская	церковь Крестовоздвиженская
Церковь Крестовоздвиженская	Церковь Крестовоздвиженская
Церковь Крестовоздвиженская (дерев.)	Церковь Крестовоздвиженская (дерев.)
Церковь Надежды	Церковь Надежды
Церковь Николая Чудотворца	Церковь Николая Чудотворца
Церковь Николая-Чудотворца	Церковь Николая-Чудотворца
церковь Параскевы Пятницы	церковь Параскевы Пятницы
Церковь Покрова Пресвятой Богородицы	Церковь Покрова Пресвятой Богородицы
церковь Покровская	церковь Покровская
Церковь Покровская	Церковь Покровская
Церковь Покровская (дерев.)	Церковь Покровская (дерев.)
Церковь Положения Ризы Пресв. Богородицы во Влахерне	Церковь Положения Ризы Пресв. Богородицы во Влахерне
Церковь Преображения Господня	Церковь Преображения Господня
Церковь пресвятой богородицы "Целительницы"	Церковь пресвятой богородицы "Целительницы"
Церковь Ризоположения Пресвятой Богородицы (дерев.)	Церковь Ризоположения Пресвятой Богородицы (дерев.)
церковь Рождества Богородицы	церковь Рождества Богородицы
Церковь Рождества Богородицы	Церковь Рождества Богородицы
Церковь Рождества Богородицы (дерев.)	Церковь Рождества Богородицы (дерев.)
Церковь Рождества Богородицы (руины)	Церковь Рождества Богородицы (руины)
Церковь Рождества  ЕХБ	Церковь Рождества  ЕХБ
церковь Рождества Иоанна Предтечи	церковь Рождества Иоанна Предтечи
Церковь Рождества Иоанна Предтечи	Церковь Рождества Иоанна Предтечи
Церковь Рождества Иоанна Предтечи (дерев.)	Церковь Рождества Иоанна Предтечи (дерев.)
Церковь Рождества Пресвятой Богородицы	Церковь Рождества Пресвятой Богородицы
церковь Рождества Христова	церковь Рождества Христова
Церковь св. Александра Невского	Церковь св. Александра Невского
Церковь св. Анны	Церковь св. Анны
Церковь св. ап. Андрея Первозванного	Церковь св. ап. Андрея Первозванного
Церковь св. Варвары	Церковь св. Варвары
Церковь св. Варвары (дерев.)	Церковь св. Варвары (дерев.)
Церковь св. Гавриила Белостокского	Церковь св. Гавриила Белостокского
церковь св. Георгия	церковь св. Георгия
Церковь св. Георгия	Церковь св. Георгия
Церковь св. Георгия (дерев.)	Церковь св. Георгия (дерев.)
Церковь св. Георгия Победоносца	Церковь св. Георгия Победоносца
Церковь св. Дионисия (дерев.)	Церковь св. Дионисия (дерев.)
Церковь св. Дмитрия Солунского	Церковь св. Дмитрия Солунского
Церковь Св. Духа (дерев.)	Церковь Св. Духа (дерев.)
Церковь св. Евфросиньи	Церковь св. Евфросиньи
Церковь св. Евфросиньи Полоцкой	Церковь св. Евфросиньи Полоцкой
Церковь св. Елисея Лавришевского	Церковь св. Елисея Лавришевского
церковь св. Ильи	церковь св. Ильи
Церковь св. Ильи	Церковь св. Ильи
Церковь св. Ильи (дерев.)	Церковь св. Ильи (дерев.)
Церковь св. Иоанна (дерев.)	Церковь св. Иоанна (дерев.)
Церковь св. Иоанна Богослова (дерев.)	Церковь св. Иоанна Богослова (дерев.)
Церковь св. Иосифа	Церковь св. Иосифа
Церковь св. Иосифа (дерев.)	Церковь св. Иосифа (дерев.)
Церковь св. Козьмы и Демьяна	Церковь св. Козьмы и Демьяна
Церковь св. Козьмы и Демьяна (дерев.)	Церковь св. Козьмы и Демьяна (дерев.)
Церковь св. Константина и Елены	Церковь св. Константина и Елены
Церковь св. Марии Египетской	Церковь св. Марии Египетской
Церковь св. Марии Магдалины	Церковь св. Марии Магдалины
церковь св. Михаила (Где находиться?)	церковь св. Михаила (Где находиться?)
церковь св. Михаила Архангела	церковь св. Михаила Архангела
Церковь св. Михаила Архангела	Церковь св. Михаила Архангела
Церковь Св. Михаила Архангела	Церковь Св. Михаила Архангела
Церковь Св.Мученика Младенца Гавриила Белостокского	Церковь Св.Мученика Младенца Гавриила Белостокского
церковь св. Николая	церковь св. Николая
Церковь св. Николая	Церковь св. Николая
Церковь Св. Николая	Церковь Св. Николая
Церковь св. Николая (дерев.)	Церковь св. Николая (дерев.)
Церковь Св. Николая  1885—86 Гг.	Церковь Св. Николая  1885—86 Гг.
Церковь св. Онуфрия	Церковь св. Онуфрия
Церковь св. Пантелеймона	Церковь св. Пантелеймона
церковь св. Параскевы Пятницы	церковь св. Параскевы Пятницы
церковь св. Петра и Павла	церковь св. Петра и Павла
Церковь св. Петра и Павла	Церковь св. Петра и Павла
Церковь св. Петра и Павла (дерев.)	Церковь св. Петра и Павла (дерев.)
Церковь св. Петра и Павла (руины)	Церковь св. Петра и Павла (руины)
Церковь св. преподобного Силуана Афонского	Церковь св. преподобного Силуана Афонского
церковь св. Серафима Саровского	церковь св. Серафима Саровского
Церковь св. Симеона	Церковь св. Симеона
церковь св. Троицы	церковь св. Троицы
Церковь святителя  Василия Великого	Церковь святителя  Василия Великого
церковь Святителя Николая Чудотворца	церковь Святителя Николая Чудотворца
Церковь  святителя Тихона Задонского	Церковь  святителя Тихона Задонского
Церковь Святого Александра Невского	Церковь Святого Александра Невского
Церковь Святого Архангела Михаила	Церковь Святого Архангела Михаила
Церковь Святого Владимира	Церковь Святого Владимира
Церковь Святого Духа	Церковь Святого Духа
Церковь Святого Иоанна Предтечи	Церковь Святого Иоанна Предтечи
Церковь Святого Михаила	Церковь Святого Михаила
Церковь Святого Николая	Церковь Святого Николая
Церковь Святого пророка Илии	Церковь Святого пророка Илии
Церковь святого Сергия Радонежского	Церковь святого Сергия Радонежского
Церковь Святой Живоначальной Троицы	Церковь Святой Живоначальной Троицы
Церковь Святой Параскевы Пятницы	Церковь Святой Параскевы Пятницы
Церковь Святой Троицы	Церковь Святой Троицы
Церковь Свято-Троицкая (дерев.)	Церковь Свято-Троицкая (дерев.)
церковь святых апостолов Петра и Павла	церковь святых апостолов Петра и Павла
Церковь Святых Апостолов Петра и Павла	Церковь Святых Апостолов Петра и Павла
Церковь святых Веры, Надежды, Любви	Церковь святых Веры, Надежды, Любви
Церковь Собора Белорусских Святых (дерев.)	Церковь Собора Белорусских Святых (дерев.)
церковь Софии Слуцкой	церковь Софии Слуцкой
Церковь Спаса Преображения	Церковь Спаса Преображения
Церковь Спасо-Преображенская	Церковь Спасо-Преображенская
Церковь Спасо-Преображенская (дерев.)	Церковь Спасо-Преображенская (дерев.)
церковь Сретения Господня	церковь Сретения Господня
Церковь старообрядческая Успенская (дерев.)	Церковь старообрядческая Успенская (дерев.)
Церковь Трех Светителей	Церковь Трех Светителей
церковь Троицкая	церковь Троицкая
Церковь Троицкая	Церковь Троицкая
Церковь Троицкая (дерев.)	Церковь Троицкая (дерев.)
Церковь Троицкая (руины)	Церковь Троицкая (руины)
Церковь униатская (руины)	Церковь униатская (руины)
Церковь Успения Пресвятой Богородицы	Церковь Успения Пресвятой Богородицы
церковь Успенская	церковь Успенская
Церковь Успенская	Церковь Успенская
Церковь Успенская (дерев.)	Церковь Успенская (дерев.)
ЦЕРКОВЬ ХВЕ	ЦЕРКОВЬ ХВЕ
Церковь ХВЕ "Благодать"	Церковь ХВЕ "Благодать"
Церковь ХВЕ "Христос для всех"	Церковь ХВЕ "Христос для всех"
церковь христиан-баптистов "Надежда"	церковь христиан-баптистов "Надежда"
церковь христиан веры евангельской	церковь христиан веры евангельской
Церковь Царства Божьего	Церковь Царства Божьего
Церовь ЕХБ	Церовь ЕХБ
Церьков "Нечаянная радость"	Церьков "Нечаянная радость"
часовня	часовня
Часовня	Часовня
Часовня "Криница у богини"	Часовня "Криница у богини"
Часовня (дерев.)	Часовня (дерев.)
часовня  бл. Юрия Матулевича	часовня  бл. Юрия Матулевича
Часовня католич.	Часовня католич.
Часовня католич. (дерев.)	Часовня католич. (дерев.)
Часовня католич. (руины)	Часовня католич. (руины)
Часовня католич. Девы Марии	Часовня католич. Девы Марии
Часовня католич. св. Варвары	Часовня католич. св. Варвары
Часовня католич. св. Иоанна Крестителя (дерев.)	Часовня католич. св. Иоанна Крестителя (дерев.)
Часовня католич. св. Иоахима и Анны	Часовня католич. св. Иоахима и Анны
Часовня католич. св. Иосифа	Часовня католич. св. Иосифа
Часовня католич. св. Пио	Часовня католич. св. Пио
Часовня католич. св. Семьи	Часовня католич. св. Семьи
Часовня католич. св. Станислава	Часовня католич. св. Станислава
Часовня католич. Сердца Иисуса	Часовня католич. Сердца Иисуса
Часовня католич. Сердца Иисуса (дерев.)	Часовня католич. Сердца Иисуса (дерев.)
Часовня-колокольня правосл. Покровская	Часовня-колокольня правосл. Покровская
Часовня-купель св. Параскевы Пятницы	Часовня-купель св. Параскевы Пятницы
Часовня Матери Божьей Ружанцовой	Часовня Матери Божьей Ружанцовой
часовня Мемориальная	часовня Мемориальная
Часовня мемориальная	Часовня мемориальная
Часовня мемориальная правосл.	Часовня мемориальная правосл.
Часовня-надмогилье Быховцев	Часовня-надмогилье Быховцев
Часовня-надмогилье Карповича	Часовня-надмогилье Карповича
Часовня общины доминиканцев	Часовня общины доминиканцев
Часовня правосл.	Часовня правосл.
Часовня правосл. (дерев.)	Часовня правосл. (дерев.)
Часовня правосл. иконы Богоматери "В скорбях и печалях Утешение" (дерев.)	Часовня правосл. иконы Богоматери "В скорбях и печалях Утешение" (дерев.)
Часовня правосл. св. Николая (дерев.)	Часовня правосл. св. Николая (дерев.)
Часовня Преображения Господня	Часовня Преображения Господня
Часовня преп. Серафима Саровского	Часовня преп. Серафима Саровского
Часовня придорожная	Часовня придорожная
Часовня придорожная (дерев.)	Часовня придорожная (дерев.)
Часовня придорожная католич. (дерев.)	Часовня придорожная католич. (дерев.)
Часовня Римских-Корсаковых	Часовня Римских-Корсаковых
Часовня св. Анны	Часовня св. Анны
часовня св. Ильи	часовня св. Ильи
Часовня св. Креста	Часовня св. Креста
часовня Спасо-Преображенская (дерев.)	часовня Спасо-Преображенская (дерев.)
Часовня Успения Пресвятой Девы Марии	Часовня Успения Пресвятой Девы Марии
часовня-Усыпальница	часовня-Усыпальница
Часовня-усыпальница	Часовня-усыпальница
Часовня-усыпальница (руины)	Часовня-усыпальница (руины)
Часовня-усыпальница Дыбовских	Часовня-усыпальница Дыбовских
Часовня-усыпальница Жабровских	Часовня-усыпальница Жабровских
Часовня-усыпальница Забелло	Часовня-усыпальница Забелло
Часовня-усыпальница Завишей	Часовня-усыпальница Завишей
Часовня-усыпальница О'Рурков	Часовня-усыпальница О'Рурков
Часовня-усыпальница Прушинских /сохр. частично/	Часовня-усыпальница Прушинских /сохр. частично/
Часовня-усыпальница Рейтанов	Часовня-усыпальница Рейтанов
Часовня-усыпальница Святополк-Мирских	Часовня-усыпальница Святополк-Мирских
Часовня-усыпальница Солтанов (руины)	Часовня-усыпальница Солтанов (руины)
Часовня-усыпальница Язвинских	Часовня-усыпальница Язвинских
Явленскакя церковь	Явленскакя церковь
